Key,English (United States)(en-US),Korean (South Korea)(ko-KR)
name_prompt,"Names describe you, and define you.\nWhat do you want Dot to call you?",이름이란 당신의 표지이자 심지.\n뭉치에게 어떤 이름으로 불리고 싶나요?
name_recommendation,Recommendation: first name,권장: 성을 제외한 본명
name_confirm,CHOOSE YOUR NAME,이름 설정하기
moon_device_comment,"Never seen that before... Guess it's from the\nMoon. Hey, the letter is glowing. Check it out?","저건 처음 보는 기계인데... 달에서 가지고 온 건가. 어, 쪽지가 빛나고 있어. 확인해 볼까?"
moon_letter_title,A Letter From the Moon,달나라에서 온 쪽지
dot_first_meeting,Today you met Dot for the first time\nCall on Dot earlier than planned?,오늘은 뭉치를 만난 첫날!\n뭉치를 조금 일찍 불러 볼까요?
dot_waiting,I can wait.,기다릴게요.
dot_okay,"Alright, then.","네, 좋아요."
dot_time_passing,Dot's time slips through your fingers...,뭉치의 시간을 빠르게 넘기는 중...
revisit_prompt,"Feel like reminiscing,\nor recalling a past conversation?","대화를 곱씹어 보고 싶다면, 이전에 나누었던 대화가 궁금하다면?"
revisit_button,Press this button to access past transcripts.,이 버튼을 눌러 이전 대사들을 다시 확인할 수 있어요.
revisit_warning,But you cannot go back on a choice.\nOnly as far as after you make one.,"단, 과거의 선택을 바꿀 수는 없습니다. 그 직전까지만 되돌아갈 수 있어요."
nav_thisway,This way! This way!,이쪽으로! 이쪽으로!
nav_herehere,Over here!,"여기다,여기!"
menu_main,MAIN MENU,메인 메뉴
menu_letters,GUIDE BOOK,안내 책자
menu_progress,PROGRESS,하루 진행도
menu_settings,MY PAGE,마이 페이지
today_square,This here is today's square.,이 네모가 오늘의 네모.
click_click_click,Click. Click. Click.,클릭. 클릭. 클릭.
dot_observation_end,Dot's human-watching is over.,뭉치의 인간 관찰이 종료되었다.
fly_snared,"Therefore, the watchful fly is ensnared.","고로, 관찰하는 파리가 묶였다."
dot_thinking_start,Dot's contemplation has begun.,뭉치의 사색 시간이 시작되었다.
fly_webbed,The web touches the thoughtful fly.,생각하는 파리에 줄이 걸렸다.
story_special_note,"Apart from the main storyline,\nfour special chats are hidden in each day.","메인 스토리와는 별개로, 하루의 곳곳에는 네 개의 특별한 대화들이 숨겨져 있다."
story_storage,And this is where one stores\nthose special transcripts.,그리고 이곳은 그 특별한 대화의 기록들을 보관하는 공간.
missed_chats_warning,"Miss it once, and gone forever! Visit more\nto keep track of Dot's web of thoughts.",하루가 지나면 말짱도루묵! 뭉치의 각양각색 생각들을 놓치기 싫다면 그를 더 자주 만나러 올 것.
go_meet_dot,Now let's go meet Dot. Right now!,이제 뭉치를 만나러 가 보자. 지금 당장!
room_polaroid,That's a neat polaroid. After our chat,앙증맞은 폴라로이드. 뭉치와 대화를 나누고 나니 방이 가득 차 보이네. 기분 탓일까?
nav_return,This way! Come back!,다시 이쪽으로! 이쪽으로!
menu_polaroids,Polaroids,폴라로이드
chat_colored,"When you find and complete a chat with Dot,\nthe cover art is splashed with color! Joy!",뭉치와의 대화를 발견하고 완료할 시 표지가 이렇게 채색된다! 기쁨. 기쁨!
chat_diary_trace,Your chat will also be\nmentioned in Dot's diary.,또한 방금 나눈 대화는 뭉치의 일기에 고유한 흔적으로 기록될 것이다.
chat_absent_log,",If you did not chat, Dot will fill\nthe entry with your absence instead.",대화를 나누지 못했다면 뭉치는 그의 텅 빈 아쉬움을 남겨 둘 테다.
room_item_hint,Special trinkets may be added\nto the room once or twice a day!,하루에 한두 번 정도는 뭉치와 당신의 방에 특별한 소품이 놓이게 될지도 모른다!
room_memory_fill,Chat with Dot and fill the room\nwith traces of fond memories.,뭉치와 대화하며 방을 따뜻한 추억의 흔적들로 채워 나가자.
skip_chat_warning,"Oh—and if you skip waiting for Dot,\nyou may miss out on these little chats.","아, 뭉치를 기다리는 시간을 건너뛸 경우, 사이에 숨어있던 대화까지 넘겨버리게 될 수 있다."
skip_choice_reminder,The choice is up to you.,참고하여 마음 가는 대로 선택할 것.
