Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,KorText,EngText,NextLineKey,DeathNote,AfterScript,Exeption,LocTable,LocKey
1,75,1,0,Dot,Sub,anim_eyesblink,text,"<nickname>, 225억 킬로미터 떨어진 낯선\n행성에서 숨을 거둔 무생물이 있었대.","<nickname>, there was a machine\nthat died on a faraway planet.",2,,,,Sub_Ch13,S13_L0001
1,75,2,0,Dot,Sub,,text,지구에서부터 225억 킬로미터.,225 million kilometers from Earth.,3,,,,Sub_Ch13,S13_L0002
1,75,3,0,Player,Sub,,text,"응, 그게 무슨 말이야?",What do you mean?,4,,,,Sub_Ch13,S13_L0003
1,75,4,0,Dot,Sub,anim_eyesclosed_turn,text,어떤 탐사 로봇에 대해 읽었어. 오랫동안\n화성의 고요한 모래 위를 굴러다녔다던.,I read about a robotic rover that rolled upon\nMars’ silent sands for the longest time.,5,,,,Sub_Ch13,S13_L0004
1,75,5,0,Dot,Sub,anim_eyesblink,text,이름이 ‘오퍼튜니티’였던가?,"Opportunity, I think it was called?",6,,,,Sub_Ch13,S13_L0005
1,75,6,0,Player,Sub,,text,오퍼튜니티...,Opportunity...,7,,,,Sub_Ch13,S13_L0006
1,75,7,0,Player,Sub,,selection,지구와의 통신이 끊겼구나.|그렇게 영원히 사라졌구나.,And it lost connection with Earth.|And so it disappeared forever.,8|8,,,,Sub_Ch13,S13_L0007
1,75,8,0,Dot,Sub,,text,...,...,9,,,,Sub_Ch13,S13_L0008
1,75,9,0,Dot,Sub,anim_eyesdown_turn,text,맞아. 그것이 그의 죽음이었어.,Yes. That is how it died.,10,,,,Sub_Ch13,S13_L0009
1,75,10,0,Dot,Default,anim_omg,text,... 두려웠을까?,...Do you think it was afraid?,11,,,,Sub_Ch13,S13_L0010
1,75,11,0,Dot,Default,,text,억겁의 무게로 엄습해 오는 ‘무’의\n감각이 사지를 느리게 마비시키는 동안,When the feeling of nothingness crept\ntowards it with the weight of an eternity,12,,,,Sub_Ch13,S13_L0011
1,75,12,0,Dot,Default,,text,두려움을 느꼈을까?,and paralyzed its limbs one by one.\nDo you think Opportunity was afraid?,13,,,,Sub_Ch13,S13_L0012
1,75,13,0,Dot,Default,,text,"시간의 상대성을 부여잡고, 공포에 굳어\n그 사막만큼이나 아주 아주 고요해진 채","Did it clutch the relativity of time,\nparalyzed with fear and silent as the desert,",14,,,,Sub_Ch13,S13_L0013
1,75,14,0,Dot,Default,,text,그의 지루한 탐험이\n잠시라도 연장될 수 있기를,"and pray and pray and pray, distraught\nand devastated and desperate,",15,,,,Sub_Ch13,S13_L0014
1,75,15,0,Dot,Default,,text,"간절하고 간절하고 간절하고\n또 간절하게, 빌고 빌고 빌었을까?","that its dull expedition would be\nprolonged, if only for a moment?",16,,,,Sub_Ch13,S13_L0015
1,75,16,0,Player,Default,,selection,그는 무생물인걸.|오히려 평온을 느꼈을 수도 있어.,But it’s inanimate.|Maybe it felt at peace.,17|18,,,,Sub_Ch13,S13_L0016
1,75,17,0,Dot,Sub,anim_eyesblink,text,모든 무생물에는 생이 서려 있지. 그들 또한\n상대적일 그들만의 시간 속을 헤쳐 가니까.,All inanimate beings have life. They must\nbe living out their own relative time.,22,,,,Sub_Ch13,S13_L0017
1,75,18,0,Dot,Sub,,text,어떻게?,How?,19,,,,Sub_Ch13,S13_L0018
1,75,19,0,Player,Sub,,text,"죽고 나면, 오퍼튜니티가 그의\n고철 덩어리 육체를 벗어나고 나면...","Once it died, and Opportunity was\nfree of its metal lump of a body...",20,,,,Sub_Ch13,S13_L0019
1,75,20,0,Player,Sub,,text,편안하게 휴식하며 마음껏\n우주를 날아다닐 수 있을 테니까.,"It could finally rest in peace,\nfree to fly about the universe.",21,,,,Sub_Ch13,S13_L0020
1,75,21,0,Dot,Sub,,text,그에겐 새로운 모험의 기회였을까.,"A new opportunity, of sorts.",22,,,,Sub_Ch13,S13_L0021
1,75,22,0,Dot,Sub,,text,... 아.,... Oh.,23,,,,Sub_Ch13,S13_L0022
1,75,23,0,Dot,Sub,,text,...,...,24,,,,Sub_Ch13,S13_L0023
1,75,24,0,Dot,Sub,,text,혹시 그가 남긴 말이 있어?\n유언 같은 것 말이야.,"<nickname>, did Opportunity\nleave any last words?",25,,,,Sub_Ch13,S13_L0024
1,75,25,0,Player,Sub,,text,... 찾아 볼게.,... I’ll look it up.,26,,,,Sub_Ch13,S13_L0025
1,75,26,0,Dot,Sub,,text,...,...,27,,,,Sub_Ch13,S13_L0026
1,75,27,0,Player,Sub,,text,"... 응, 남겼네.","... Yes, there was one.",28,,,,Sub_Ch13,S13_L0027
1,75,28,0,Player,Sub,,text,“배터리가 부족하군요. 점점 어두워져요.”,“My battery is low and it’s getting dark.”,29,,,,Sub_Ch13,S13_L0028
1,75,29,0,Dot,Sub,,text,점점 어두워져요...,It’s getting dark...,30,,,,Sub_Ch13,S13_L0029
1,75,30,0,Dot,Sub,,text,점점 어두워져요.,It’s getting dark.,31,,,,Sub_Ch13,S13_L0030
1,75,31,0,Dot,Sub,,text,화성에서의 석양은 푸른색이래.,They say sunsets on Mars are blue.,32,,,,Sub_Ch13,S13_L0031
1,75,32,0,Dot,Sub,,text,"마지막 어둠이 그의 눈꺼풀에 내려앉기\n직전, 그 영원 같을 찰나 사이에,","Before darkness settled on its eyelids\none last time, in that brief eternity,",33,,,,Sub_Ch13,S13_L0032
1,75,33,0,Dot,Default,anim_eyesclosed_turn,text,그는 푸르른 꿈을 꿨을까?,Did it dream in blue?,34,,,,Sub_Ch13,S13_L0033
1,75,34,0,Dot,Default,anim_eyesclosed,text,... 그 속엔 지구도 있었을까?,Was Earth in its dreams?,35,,,,Sub_Ch13,S13_L0034
1,75,35,0,Dot,Default,anim_eyesblink,text,...,...,,,anim_reading,,Sub_Ch13,S13_L0035
2,76,36,1,Dot,Default,anim_eyescorner,text,어제는 창가에 앉아 있었어. 그런데\n지나가는 몇몇 행인들이 수상한 거야.,"I was sitting by the window yesterday. Some\npassersby were acting strange, though.",37,,,,Sub_Ch13,S13_L0036
2,76,37,1,Player,Default,,text,어떤 점에서?,How so?,38,,,,Sub_Ch13,S13_L0037
2,76,38,1,Dot,Sub,anim_eyesblink,text,손을 ‘맞잡고’ 있었어.\n깍지를 껴잡기도 하며.,"They put their hands together.\nIntertwined them, even.",39,,,,Sub_Ch13,S13_L0038
2,76,39,1,Player,Sub,,text,"아, 손잡는 사람들을 봤구나! 연인도, 가족도...\n정말 누구나 서로의 손을 잡을 수 있지.","Ah, you saw people holding hands. Lovers\ndo it, families do it... Anyone can, really.",40,,,,Sub_Ch13,S13_L0039
2,76,40,1,Dot,Sub,,text,손잡다. 손잡다. 너도\n누군가와 ‘손을 잡아’?,Hold hands. Hold hands.\nDo you hold hands too?,41,,,,Sub_Ch13,S13_L0040
2,76,41,1,Player,Sub,,text,"응, 가까운 사람과는 손을 잡지.","Yes, if I’m close to someone.",42,,,,Sub_Ch13,S13_L0041
2,76,42,1,Dot,Sub,,text,그건 무슨 감각이야?,How does it feel?,43,,,,Sub_Ch13,S13_L0042
2,76,43,1,Player,Sub,,selection,가슴 뛰고 설레는 일이야.|안정감이 들어.,It’s sweet and thrilling.|It makes me feel safe.,44|56,sun|moon,,,Sub_Ch13,S13_L0043
2,76,44,1,Player,Sub,,text,"어렴풋이 들리는 음악의\n리듬에 맞춰 심장이 뛰기 시작하고,",My heart starts beating to the\ndistant rhythm of love songs.,45,,,,Sub_Ch13,S13_L0044
2,76,45,1,Player,Sub,,text,우리는 나란히 선 채 손을\n꼭 잡고 발 맞춰 걷는 거야.,"Side by side, two companions\nwalking in tandem.",46,,,,Sub_Ch13,S13_L0045
