StartTime,EndTime,KorText,EngText
00;00;04;04,00;00;08;01,골목 구석 노란 지붕 집에는 한 아이가 살았어.,"In a house at the far end of the road, there lived a boy."
00;00;08;01,00;00;12;02,"항상 가슴을 움켜쥐며 침을 삼키고, 눈을 도르륵도르륵 굴리던 아이가.","The boy grasped at his chest and swallowed, rolling his eyes this way and that."
00;00;14;09,00;00;16;27,그 아이의 식도 안에는 그의 쌍둥이 형이 살았어.,In his esophagus lived his twin brother.
00;00;17;29,00;00;20;14,어머니의 뱃속에서 함께 자라나다 죽어 버린 형이.,The brother that died while growing inside their mother.
00;00;20;14,00;00;24;26,아이와 닮은 눈을 도록도록 굴리며 식도 안에 살았어.,"It lived inside the boy, with eyes just like him that rolled this way and that."
00;00;25;23,00;00;29;29,"아마도 형은, 아이의 일곱 번째 생일날, 그들의 할머니가 한숨처럼 뱉은 말을 먹고 태어났을 거야.","Perhaps it was born on the child's seventh birthday, of their grandma's ominous words."
00;00;31;03,00;00;34;01,“쯧… 사람 잡아먹고 태어난 놈.”,"""Ate his brother to be born, that one did."""
00;00;34;01,00;00;36;22,“지 형을 잡아먹고….”,"""His own brother at that..."""
00;00;38;28,00;00;42;11,그 말은 아이의 연약한 가슴을 너무 쉬이 헤집었을 거야.,The words tore through the boy's fragile heart.
00;00;42;11,00;00;45;24,"아이를 움켜쥐었을 거야. 너무 세게 움켜쥔 나머지,",They seized him. Seized him with such a grip.
00;00;46;21,00;00;50;06,그 기이하고 퍽퍽한 믿음은 아이의 가슴을 꿰뚫고 뿌리 내렸을 거야.,That stifling belief pierced through the boy's heart and laid roots.
00;00;50;11,00;00;52;03,"그것은 아이의 안에서 가지를 뻗어,","It branched out within,"
00;00;52;06,00;00;54;19,동그란 열매를 맺고,"grew a single fruit,"
00;00;54;24,00;00;57;07,눈을 뜨더니,and opened its eyes.
00;00;58;16,00;01;01;10,‘형’이 되었어.,"And so it was born, the brother he ate."
00;01;01;21,00;01;05;04,"오래오래 소화되지 않을, 아이와 똑 닮은, 형의 추하고 귀여운 얼굴이 되었어.","Somehow exactly like him, yet distorted, forever indigestible."
00;01;06;09,00;01;09;22,그 이후로 그 아이는 무언가를 자주 삼켰어. 형의 존재를 들킬까 봐 두려웠거든.  ,"From then on the boy swallowed and swallowed, to push his brother down."
00;01;10;23,00;01;12;27,"삼촌의 딱한 눈빛도, 그 눈빛을 보고 튀어나오려던 억울한 비명도,","His uncle’s pitying gaze, and the wail that leapt to his throat."
00;01;12;27,00;01;15;17,"친구들의 손가락질도, 그 손가락을 보고 튀어나오려던 항변도.","The fingers his friends pointed at him, and the protest that leapt to his throat."
00;01;15;17,00;01;19;00,"거대한 설움도, 조그마한 울음도. 수많은 사람들의 오싹한 눈빛도.","The sorrows, the cries. The way people would stare and stare and stare."
00;01;21;29,00;01;24;16,‘삼켜. 삼켜. 삼켜. 삼켜야지. 삼켜야만 해.’,"""Swallow. Swallow... Don't let it out."""
00;01;28;20,00;01;32;03,"아이는 전부 삼켰어. 꿀, 꺽 넘어가며 그것들은 싱싱한 토사물로 쌓여 갔지만","The child swallowed them all. Gulp gulp gulp, fresh vile vomit piling up."
00;01;32;07,00;01;35;18, 아이는 뱉어 낼 수 없었어. 식도 속 형의 존재를 들킬까 봐 두려웠으니까.,but he dared not heave. In case they found out who lived in his esophagus.
00;01;35;21,00;01;37;25,오래오래 감추고 싶었으니까.,In case they found what he crammed deep inside.
00;01;42;02,00;01;46;16,"그러던 어느 날, 그 애는 잠들기 전 이를 닦으려다가","Then one day, just as he was about to brush his teeth before bed,"
00;01;46;16,00;01;51;00,참아 낼 수 없는 답답함에 몸부림치며 가슴을 움켜쥐었어.,he grasped at his chest and writhed as if he were being suffocated.
00;01;55;06,00;01;57;16,"그리고,","And,"
00;01;57;16,00;01;59;25,"그렇게,","So,"
00;02;00;04,00;02;02;19,"그런데,","But,"
00;02;02;19,00;02;05;07,그렇게....,So....
